price,area,mainroad
13300000,7420,1.9
12250000,8960,1.5
12250000,9960,1.3
12215000,7500,1.9
11410000,7420,1.5
10850000,7500,1.3
10150000,8580,1.2
10150000,16200,1.1
9870000,8100,1.5
9800000,5750,1.6
9800000,13200,1.8
9681000,6000,1.7
9310000,6550,1.3
9240000,3500,1.5
9240000,7800,1.1
9100000,6000,1.2
9100000,6600,1.1
8960000,8500,1.3
8890000,4600,1.9
8855000,6420,1.2
8750000,4320,2.3
8680000,7155,1.8
8645000,8050,1.8
8645000,4560,1.2
8575000,8800,1.4
8540000,6540,1.5
8463000,6000,1.6
8400000,8875,1.0
8400000,7950,1.2
8400000,5500,1.8
8400000,7475,1.1
8400000,7000,1.6
8295000,4880,1.5
8190000,5960,1.8
8120000,6840,1.6
8080940,7000,1.4
8043000,7482,1.3
7980000,9000,1.2
7962500,6000,1.6
7910000,6000,1.5
7875000,6550,1.8
7840000,6360,1.4
7700000,6480,1.3
7700000,6000,1.1
7560000,6000,1.0
7560000,6000,1.0
7525000,6000,1.2
7490000,6600,1.0
7455000,4300,1.9
